fichier XML;fichier decoupe;action;date debut;date fin
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6167855681336043522;DEC;1449150802901;1449150803005
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-748144500353407773;DEC;1449150803006;1449150803053
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-4316129807427357896;DEC;1449150803053;1449150803076
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-1185750201830233008;DEC;1449150803076;1449150803096
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-1413503623211855593;DEC;1449150803096;1449150803129
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-778859180467072348;DEC;1449150803129;1449150803148
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-4245879733644909965;DEC;1449150803148;1449150803170
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-2594054553515801167;DEC;1449150803170;1449150803190
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-8034599834057413199;DEC;1449150803190;1449150803205
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-2976372109776294704;DEC;1449150803205;1449150803225
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-922570363675994593;DEC;1449150803226;1449150803245
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-9184222461320661040;DEC;1449150803245;1449150803272
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-2548104572079134496;DEC;1449150803272;1449150803290
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-5129963099821136465;DEC;1449150803290;1449150803304
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-1912767615604428705;DEC;1449150803304;1449150803318
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-8378698422320292600;DEC;1449150803318;1449150803338
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6412806489562063445;DEC;1449150803338;1449150803356
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-917635408333398359;DEC;1449150803356;1449150803374
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-819986958239573147;DEC;1449150803374;1449150803408
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-775067214917400488;DEC;1449150803408;1449150803424
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6024726559573609580;DEC;1449150803424;1449150803444
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6351872315967315191;DEC;1449150803444;1449150803463
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-4638309772574409878;DEC;1449150803463;1449150803480
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6944679875228064458;DEC;1449150803480;1449150803498
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-337969505870202130;DEC;1449150803498;1449150803517
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-442232380113630493;DEC;1449150803518;1449150803534
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-3218678341698911180;DEC;1449150803534;1449150803553
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-8093725270941503638;DEC;1449150803553;1449150803576
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-1242880959473322514;DEC;1449150803577;1449150803597
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-1362432983225522300;DEC;1449150803599;1449150803615
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6243437939632248484;DEC;1449150803615;1449150803635
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6911672964399921196;DEC;1449150803636;1449150803665
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-5510605656166135531;DEC;1449150803665;1449150803682
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-4283360755246907440;DEC;1449150803683;1449150803698
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-9171147226163373030;DEC;1449150803698;1449150803712
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-8078901040704154588;DEC;1449150803712;1449150803725
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-7595652131371498325;DEC;1449150803725;1449150803744
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-2098891149207462626;DEC;1449150803744;1449150803800
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-8281178289417508843;DEC;1449150803800;1449150803842
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-7116804931142442915;DEC;1449150803842;1449150803859
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-9017301432748143658;DEC;1449150803859;1449150803876
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-114001116359618549;DEC;1449150803876;1449150803912
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-3747158878218284462;DEC;1449150803912;1449150804279
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6099280670561181357;DEC;1449150804279;1449150804363
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6611689903950723309;DEC;1449150804363;1449150804377
